pressure_mean,pressure_std,movement_count,fft_peak_ratio,turn_flag,stage
36.43401888481726,2.48472873594147,0,0.8108493177003697,1,deep_sleep
33.08383035476404,11.940293785598987,3,0.672768958668975,1,restless
48.10359960377507,3.675103924645053,3,0.8712679088461059,0,light_sleep
60.5783376195453,8.451235264252015,4,0.5024746247522899,1,light_sleep
54.92843944721019,4.9472576541746855,4,0.23981924703980573,0,light_sleep
39.80761528474806,7.4001715553597265,6,0.5051777792173943,1,light_sleep
26.312992109342574,4.42372707279454,3,0.785230254301331,0,light_sleep
56.56289142068769,7.831710299379934,1,0.42848420522638153,0,light_sleep
48.454895488444706,3.3764362053600374,0,0.1630381233991714,0,deep_sleep
39.11817419090029,3.0026277770639256,5,0.11301839725754831,0,light_sleep
30.194006074865346,9.863290602209734,3,0.8255435695271095,1,light_sleep
45.37588220554883,7.444665753474843,3,0.17444845436493067,0,light_sleep
48.237213999245554,2.6491764075063386,5,0.7289602456427398,0,light_sleep
39.072266518017315,3.8029617208931237,5,0.1611924791161611,0,light_sleep
61.377617643221875,4.334892471473652,5,0.16290925945093065,0,light_sleep
52.801041549269996,3.524458075790396,5,0.25478108910074343,0,light_sleep
43.09080106637325,8.907068517773894,3,0.6622563206329259,0,light_sleep
33.07929337492411,5.283429057907197,5,0.4521867919717302,0,light_sleep
31.28572987183927,10.879478581123553,4,0.2593385216023687,0,restless
32.780948125990406,10.137854530423347,3,0.7110411392414536,0,restless
45.94740000272543,5.851797495649522,3,0.22163372777790782,1,light_sleep
26.22482533117955,10.723923214041102,4,0.8578325364544245,0,restless
47.997143100812735,5.617619889380422,3,0.4142195679880415,0,light_sleep
23.240392868644953,7.075331402710783,3,0.7671944871844985,0,light_sleep
21.774875549054716,9.517956255278584,2,0.42895855955897644,0,light_sleep
28.05817458383701,5.876295180205669,3,0.8346491505286332,0,light_sleep
39.00173671299472,3.349400484683012,5,0.5166818600125143,0,light_sleep
43.9268411155773,2.294433289905024,2,0.3202947593651433,1,light_sleep
16.21140504639343,7.995907688492021,4,0.6454895327367496,0,light_sleep
41.302186729886756,10.167505451120356,4,0.3005416428157761,1,restless
53.24709905461552,8.685971414682282,2,0.4502749705102196,1,light_sleep
25.183818331717116,11.839476822010688,3,0.12205286370524551,1,restless
53.11521712216213,5.610873518255144,1,0.21685800066477645,1,light_sleep
32.95078455161709,3.240130218653958,3,0.5819617026171958,0,light_sleep
32.62118450960067,5.375541321800282,6,0.4773291268671216,0,light_sleep
47.12781821894252,10.691108664407471,4,0.8338521782557553,0,restless
42.66586689580504,9.07568269852796,1,0.7186197574793609,0,light_sleep
46.848092940821,10.333245017881417,6,0.3362226161000905,0,restless
28.39654810322233,4.5835965530907785,4,0.5715147950082633,0,light_sleep
38.740415064382645,3.9438430769844874,5,0.22251884928359944,0,light_sleep
41.57910655797096,5.666730203835115,1,0.6947248366426745,0,light_sleep
32.13147947155116,3.1026688926491532,1,0.39274823152629956,0,deep_sleep
46.59923857395847,7.243884228491548,1,0.15759475706884019,0,light_sleep
43.72891826675223,2.5240194953357538,5,0.21217339428945775,0,light_sleep
35.93081686955265,3.2185878379047708,2,0.26958235863819513,1,light_sleep
53.377692855480575,6.258061900197719,3,0.8456627799795923,0,light_sleep
43.76498400765028,4.0449547773468,7,0.634104589175373,0,light_sleep
41.63959244226734,4.940921741128911,6,0.6140364807482601,1,light_sleep
42.34962537450951,11.172754218586718,4,0.1505333970797511,0,restless
